계좌,종목명,종목번호,수량,평균단가,단위
ISA,1Q 미국S&P500,0026S0,161,12032,KRW
ISA,하나금융지주,086790,13,85554,KRW
ISA,TIGER 200,102110,33,82006,KRW
ISA,TIGER 유로스탁스배당30,245350,150,17727,KRW
ISA,KODEX 미국S&P500,379800,286,20285,KRW
ISA,KODEX 미국나스닥100,379810,201,21334,KRW
ISA,RISE 미국AI테크액티브,495940,120,13246,KRW
연금저축A,TIGER KRX금현물,0072R0,299,13491,KRW
연금저축A,KODEX K방산TOP10,0080G0,423,11643,KRW
연금저축A,ACE 미국10년국채액티브,0085P0,258,10809,KRW
연금저축A,KODEX 200,069500,24,43778,KRW
연금저축A,TIGER 200,102110,166,71092,KRW
연금저축A,PLUS 코스피50,122090,251,39881,KRW
연금저축A,KODEX 미국S&P500,379800,199,20934,KRW
연금저축A,KODEX 미국나스닥100,379810,141,22827,KRW
연금저축A,TIGER 조선TOP10,494670,201,28105,KRW
연금저축B,TIGER KRX금현물,0072R0,83,16223,KRW
연금저축B,KODEX 방산TOP10,0080G0,9,13238,KRW
연금저축B,KODEX 200,069500,68,53112,KRW
연금저축B,TIGER 200,102110,141,69987,KRW
연금저축B,PLUS 코스피50,122090,104,42127,KRW
연금저축B,TIGER 다우존스30,245340,52,31411,KRW
연금저축B,KODEX 미국나스닥100,379810,70,21874,KRW
연금저축B,KODEX 방산TOP10,0080G0,50,12695,KRW
CMA,TIGER 200,102110,38,77581,KRW
CMA,PLUS 코스피50,122090,17,40400,KRW
CMA,AAPL,AAPL,8,257,USD
CMA,GOOGL,GOOGL,9,331,USD
CMA,QQQM,QQQM,39,250,USD
CMA,DIA,DIA,8,466,USD
CMA,SPYM,SPYM,114,79,USD
IRP,PLUS 금채권혼합,0138Y0,129,10549,KRW
IRP,KODEX 200,069500,30,43690,KRW
IRP,TIGER 200,102110,45,74669,KRW
IRP,PLUS 코스피50,122090,68,50436,KRW
IRP,TIGER 미국나스닥100,379810,13,142675,KRW
IRP,KODEX 200미국채혼합,284430,56,18610,KRW
IRP,TIGER 미국S&P500,360750,138,21800,KRW
IRP,KODEX 삼성전자채권혼합,448330,33,14430,KRW
